title|address|price[PLN]|area[m^2]|rooms|floor|market|build year|parking|building_type
Apartament|Turystyczna, Sobieszewo, Gdańsk, pomorskie|495 675 zł|44,06 m²|2|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2025|przynależne na ulicy|apartamentowiec; rok budowy: 2025
Mieszkanie, ul. Jaglana|Jaglana, Śródmieście, Gdańsk, pomorskie|635 000 zł|39,40 m²|2|1|wtórny|2017|parking publiczny / na ulicy|rok budowy: 2017 (blok w nowym budownictwie)
Mieszkanie, ul. Krzemowa|Krzemowa, Orunia Górna, Gdańsk, pomorskie|680 000 zł|78,43 m²|4|4|wtórny|1990|parking publiczny / na ulicy|blok mieszkalny (blok z płyty); rok budowy: 1990
Mieszkanie Gdańsk|Ujeścisko, Gdańsk, pomorskie|475 000 zł|42 m²|2|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|przynależne na ulicy|blok mieszkalny; rok budowy: 2024
Mieszkanie|Stogi, Gdańsk, pomorskie|799 900 zł|65 m²|4|1|wtórny|2024|tak|blok mieszkalny; rok budowy: 2024 (blok w nowym budownictwie)
Mieszkanie, ul. Dionizosa|Dionizosa, Kowale, Gdańsk, pomorskie|475 000 zł|53 m²|3|1|wtórny|2013|parking publiczny / na ulicy|rok budowy: 2013 (blok w nowym budownictwie)
Mieszkanie Gdańsk|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|672 176 zł|71,98 m²|4|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|przynależne na ulicy|blok mieszkalny; rok budowy: 2024
Mieszkanie, ul. Stara Stocznia|Stara Stocznia, Śródmieście, Gdańsk, pomorskie|2 999 000 zł|88 m²|3|6|wtórny|2021|w garażu podziemnym|rok budowy: 2021 (blok w nowym budownictwie)
Mieszkanie, ul. Starowiejska|Starowiejska, Letnica, Gdańsk, pomorskie|695 000 zł|42,67 m²|2|parter|wtórny|2022|parking publiczny / na ulicy|rok budowy: 2022 (blok w nowym budownictwie)
Mieszkanie, ul. Kołobrzeska|Kołobrzeska, Przymorze, Gdańsk, pomorskie|650 000 zł|45 m²|2|2|wtórny|1970|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1970
Mieszkanie, ul. Potęgowska|Potęgowska, Jasień, Gdańsk, pomorskie|670 500 zł|60,86 m²|3|4|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2025|garaż wolnostojący|blok mieszkalny; rok budowy: 2025 (blok w nowym budownictwie)
Kawalerka, ul. Zakosy|Zakosy, Stogi, Gdańsk, pomorskie|529 141 zł|26,59 m²|1|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|parking publiczny / na ulicy|
Mieszkanie, ul. Gospody|Gospody, Żabianka, Gdańsk, pomorskie|679 000 zł|56,10 m²|3|1|wtórny|1975|parking publiczny / na ulicy|blok mieszkalny (blok z płyty); rok budowy: 1975 (blok w starym budownictwie)
Apartament Gdańsk|Gdańsk, pomorskie|639 307 zł|68,35 m²|4|3|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|apartamentowiec; rok budowy: 2024
Mieszkanie, ul. Grudziądzka|Grudziądzka, Wrzeszcz, Gdańsk, pomorskie|1 075 000 zł|55,01 m²|3|4|wtórny|2020|garaż wolnostojący|blok mieszkalny; rok budowy: 2020
Mieszkanie, ul. Jasińskiego|Jasińskiego, Jasień, Gdańsk, pomorskie|689 000 zł|64,52 m²|3|1|wtórny|2021|przynależne na ulicy|blok mieszkalny; rok budowy: 2021 (blok w nowym budownictwie)
