title|address|price[PLN]|area[m^2]|rooms|floor|market|addition|parking|elevator|build year|internet|buiiding_type|basement
1-pokojowe mieszkanie 88m2 Bezpośrednio|ul. Jałmużnicza, Śródmieście, Gdańsk, pomorskie|1988898.0|88.84|1|parter|||garaż/miejsce parkingowe|||||
3 pokoje po generalnym remoncie - 2 ogródki !!!|ul. Władysława Kańskiego, Wiczlino, Gdynia, pomorskie|649000.0|50.5|3|parter|wtórny|||nie|2002|1.0|blok|0.0
Gdańsk Piastowska piękne 3-pokojowe po remoncie|ul. Piastowska, Przymorze Wielkie, Gdańsk, pomorskie|750000.0|54.0|3|parter|wtórny|||nie|1965|1.0|blok|1.0
"Mieszkanie z ładnym widokiem | Wielki Kack"|ul. Waleriana Szefki, Wielki Kack, Gdynia, pomorskie|1200000.0|98.45|3|1|wtórny|||nie|2005|0.0||0.0
Gdańsk- 3 pok. 52,52 mkw, ul. Słowackiego|ul. Juliusza Słowackiego, Wrzeszcz Górny, Gdańsk, pomorskie|649000.0|52.25|3|4|wtórny|balkon|garaż/miejsce parkingowe|nie|1976|1.0|blok|1.0
4-pokojowe mieszkanie 65m2 + ogródek Bezpośrednio|ul. Zakole, Stogi, Gdańsk, pomorskie|819900.0|65.57|4|parter||taras, ogródek|garaż/miejsce parkingowe|||||
2-pokojowe mieszkanie 32m2 + balkon|ul. Zakole, Stogi, Gdańsk, pomorskie|529900.0|32.68|2|2||balkon|garaż/miejsce parkingowe|||||
2-pokojowe mieszkanie 42m2 + balkon|ul. Kampinoska, Ujeścisko-Łostowice, Gdańsk, pomorskie|524000.0|42.67|2|2||balkon|garaż/miejsce parkingowe|||||
2 pokoje/ Przymorze/ przy Parku Reagana|ul. Chłopska, Przymorze Wielkie, Gdańsk, pomorskie|629000.0|45.0|2|3|wtórny|balkon|garaż/miejsce parkingowe|nie|1970|1.0|blok|1.0
"Apartament nadmorski - ""Nadmorze"" Invest Komfort"|ul. Ignacego Krasickiego, Brzeźno, Gdańsk, pomorskie|2181000.0|78.71|3|4|wtórny|balkon|garaż/miejsce parkingowe|tak|2018|0.0|apartamentowiec|0.0
120m własnego ogródka_Słoneczne Płd-Zach.|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|541900.0|55.31|3|parter|pierwotny|ogródek, taras|garaż/miejsce parkingowe|tak|2025|1.0|blok|0.0
